ID,Text,Gold label
25607311,"I saw a really nice post on stackoverflow on the difference between GoogleApiClient and GoogleAuthUtil. I am trying to understand where the google-api-java-client (and google-api-java-client-android) library sits with respect to GoogleApiClient in terms of accessing native google APIs. Details on the library here 1) If I want to access my own endpoints API, it would appear google-api-java-client is a better approach than GoogleAuthUtil (and clearly GoogleApiClient won't help there other than perhaps just picking an account and handling play services integration/update/missing/etc dialogs). 2) for native google APIs (eg Drive, Maps, Calendar, etc), which of the two would be the recommended approach? Thanks.",positive
25386947,"I tried so many different ways for printing without dialog box but i couldnt find any solutions. I will buy for good solution. I have an idea about this situation; I will use System.Windows.Forms.WebBrowser(). if i use an Button1 As System.Windows.Forms.Button for webbrowser.print, printing directly without dialog box. Can i use this button in html code?",negative
25419608,I have a general style definition as Now want to apply a different style only for in extra small screens (xs) only as follows. How can I do it? Thanks,neutral
25727724,"My category.php uses wp_list_categories to display the subcategories for certain categories, and also display the sibling categories for those subcategories. The particular subcategories is defined in the following string: I'd like to replace this with an array for easier maintenance as the relevant categories change. I've written the following: This is working on the parent category pages, but not the subcategory pages. On the subcategories, the siblings are not displaying. Can cat_is_ancestor_of use an array for the first variable?",neutral
25346200,"I'm trying to test my controller which deal with images by paperclip. However, when I ran rspec, there are a lot of strange warnings from paperclip I guess. The warnings are look like this: Can anyone tell me what are those warnings and how can I fix it? Environment infos: Rails 4.1.4, latest paperclip, mongoid-paperclip.",neutral
25553132,"One great feature of TravisCI is the ability to add a to your repository which describes how Travis should run your build. Is something similar possible with TeamCity? I've done some pretty heavy configuration for enterprise TeamCity servers so I'm fairly well versed in it, but I've never seen or heard of this type of configuration and so far as I can tell it's not in the docs. I'd be okay with a plugin as well, assuming it's stable.",positive
25604812,I've put all my Views in their own folders in Visual Studio and now the content is not rendering anymore. From where do I have to set the path for them to render?,neutral
25525915,"I have a content filter which is based off of some GET variables to get records of a certain category and list them. If the number of records exceeds the records per page setting then ideally I would like to paginate them. My code for retrieving the records works like so: Request URL: In my twig code I have the following: I then have at the end of the page. It shows the correct number of pages to iterate through but the target URL is inaccurate (missing the GET parameters) and so when going to the next page the records are no longer filtered therefore returning all. Is there a way to append my filter parameters? I am aware that it's possible to setup routes based on the taxonomy, i.e. and have that list results and paginate them. However this method falls short once you start to introduce multiple filter options which can be used singularly or in combination. Documentation Fetching records: Pager:",neutral
25438426,"The above script works without any exception errors, but if I modify import style: import Tkinter as Tk, it will complain about about argument 'LEFT, RIGHT, Y' and I had to make them lower letter in string form as below script, why is that?",neutral
25399136,"I've installed CIDER 0.7.0 and now when I start it inside of Emacs (via M-x cider-jack-in RET), I get the following warning: WARNING: CIDER's version (0.7.0) does not match cider-nrepl's version (not installed) I've downloaded and found out that it consists of closure code, not emacs lisp code. Since I've started exploring Clojure world just today, and there is no installation instructions on the project page, could you tell me how can I install cider-nrepl?",neutral
25664156,I am trying to create a datagridComboBoxcolumn in winforms with Suggestions Based on Loose Character Search similar to . but I want this as Datagridview combobox. I have created a grid with Datagridviewcombobox column and used autocomplete but it will search only from first characters. I want loose search. I used Please provide me a solution to create this type of datagridviewcombobox.,neutral
25374355,"I am trying to combine optionmenu and listbox to guide selection from a dictionary. Everything appears to be working fine. However, I am getting . Any idea why this error? Also, is it possible to use a spinbox in place of the listbox? Here's my code: Using Python 3.4.1",neutral
25342798,"I have a observable collection of US StateCodes and a boolean indicator. I data bound the collection to a view like so: When I run it, I get the expected row per state: But what I want is this: I have been spending time binging around google and I am not having much luck. Can anyone point me to a resource or give me some starter code to move me along? Thanks in advance.",negative
25577088,"Just installed new machine with ubuntu 14.04. The font list showing in Libre office has none of the fonts I usually use, and none of the fonts I need, although it is well equipped with fonts for various languages I never heard of. I looked around for fonts and found lots and lots of folders containing fonts. But I have no idea which folder Libre office might be accessing for its font list. If it is one folder, it is not any that I have found. Can anyone tell me which folder to look at, or whether I can direct Libre Office to the font folder of my choice?",neutral
25598520,"I'm doing my best to get my JS promise working but it's unable to return any results. If I do the function is able to console.log the result, but is unable to then return it on the very next line. I've been using these as references for promises: But the problem with these tutorials (at least the second one) is that they never explicitly return the result. They either console log it (which works) or use it immediately inside a function.",negative
25734107,"I'm following an Android SDK Tutorial that explains how to test a dummy phone call using DDMS. Though the lesson uses Eclipse with Android plugin on a Windows machine, I am using Android Studio on OS X. Here are the steps I've followed after completing the code. I created a new instance of a Nexus 4 I run the app While the app is open int he emulator, I open the ""Android Device Monitor"" tool In ADM I select the emulator and put a dummy phone number in, then click call. Nothing seems to happen in the emulator at first; it just sits in the app. But in the ADM's logcat there are two lines that read: Also, when I click ""Hang up"" int he ADM, the emulator does show a missed call for each attempt I've made. In the logcat there are a number of messages that refer to not being able to load audio drivers and a few referencing no speaker found. I can post the logcat output, but it's very very long (much because I believe it is repeating itself until I hang up).",negative
25713853,"I have a js function inside a web page that trap the position of the click on it. I had to implement it in a way that is recognized if the page contain a form element, and, if so, do a check as to whether that the click that I'm recording is made on one at random form element or not. I got up to check the form and to learn its elements, but I do not know how to check if the click is made __on a single element:",neutral
25773227,"For some reason, jenkins is having issues running this section of code: However when written as below...it works!!!? cd ${WORKSPACE}/workspace/trunk Am I missing something?",neutral
25653264,"In the model Tesla K20 the peak single-precision floating point performance is about 3.52 TFlops but the double-precision is 1.17 TFlops,so the ratio is 3. The Tesla K20X has 3.95 and 1.31, and Tesla K40 has 4.29 and 1.43 TFlops, the ratio seems to repeat. My question is if there is a reason to the ratio be 3 and not 2, that seems logical to me because the difference between single and double precision. I am learning about GPUS and GPGPUS, so i don't know very much about it. In the second page of this pdf there is a specs table.",neutral
25410430,"I am having a problem where the Windows Store App is displaying only one arrow for the scroll bar and not the other one. Furthermore, the Iframe is also not displaying the complete content. For some reason I am not able to scroll after a certain point. Below Default HTML code is there :- Help is appreciated ^_^.",positive
25724126,"I'm building animation/transition heavy web app with a lot of content. There are a lot of composition layers in the app since everything is moved/animated using css transforms. I'm trying to debug the app to find out rendering bottlenecks and I've noticed a lot of ""Update Layer Tree"" events in Chrome DevTools -> Timeline -> Frames mode like: Does anybody have an idea what could be causing this? What does ""Update Layer Tree"" exactly stand for?",neutral
25426859,"When using the Service Bus for Windows Server brokered messaging you can, if using the net sdk achieve a request/response pattern by using the ReplyToSessionId message property. For example a client sends a request on a Service Bus queue. The request is then processed by a windows service. The windows service does some business logic, updates or retrieves some data and puts the response message on a response queue (configured for sessions) which the client retrieves the response message from. This is the way we currently do communication between client/server in an application I'm working on. Is it possible to achieve the same request/response pattern using the REST API?",neutral
25383552,"I have a bucking bean associated to a page and I want to change its value depending on whether a validation failed or succeeded. a validator that checks if the number is positive and a xhmtl page: And I want the String in the bean to be value=""negative"" or value=""positive"" whether the occastion. How can this be done?",neutral
25379859,"I have a list of user's and their details stored in db with latitudes and longitudes. I need to make query, When any single user want's to display how many user's available in nearest 200m from his position in Google map. Plz tell me how's its possible to get all the user's name or total number of user in particular area.",neutral
25493154,I have a table XYZ with column FileName which has values as follows: I want to update this column so that it contains only the filename and remove other characters preceeding: Hence I wrote the following: But if a FileName has a value like: My script returns RR1.txt instead of Test_RR1.txt! It finds the last underscore and returns substring from there. How can I change it so that I get the 3rd underscore and return a substring following it!,negative
25398554,"Please help me to find the reason for this exception ,am using following jars, firstdoc.xhtml JAVA : Exception :",neutral
25683386,"I have been struggling here for days. I have a multi select box, I want to trigger when an item of the box has been deselected. e.g. Box with 10 items. Items 1 to 8 are selected by default. User deselect using ""Ctr + Left Mouse Click"" item 4. How do I know item 4 was clicked/deselected? Is this possible? thank you all",negative
25784704,"{""toDate"": ""2014/07/01"",""fromDate"": ""2014/05/01"",""imeiNo"": ""1234567890"", ""phoneNumber"": 1234567890, ""emailId"": “” } Response Packet:",neutral
25590966,I have the module... This prints the word 'jon' twice as per the console.log statements. However I don't really understand why 'this' is correct since it would return the reference to the function and be 'undefined' wouldn't it?,neutral
25728146,"Il laravel when you are told to render some data you are explained that you should send data from controller to view with a view Is there any way you could have objects (for example Models, ModelViews or other type) that would render entire view? something like that: where the view for each item is defined in other view. In this way: the view for the listing will be decoupled from item view",neutral
25382404,"I have a list of records that I would like to separate into a different file based on a criterion, which is 'if any of the records contain a 5*, then append into a file as a list (.csv if possible) the result 'only' (e.g. 502 and 514). It is assumed the file has already been created for this purpose. I am using VBA Excel. Here is an example of some records: I know that the use of the split function would be used but I am unfamiliar with it. Any help in the right direction would be greatly appreciated.",positive
25400181,"I want to remove some parameters in a url, currently my code: But it will send two urls(requests) to the server, the original one (I can see the response without the video being played) and the truncated one(as expected).",neutral
25360450,"I tried to install Openpyxl module, but during instalation it shows some errors with JDcall. When I try to import it, I get this: Traceback (most recent call last): File ""C:\Andrzej\workspace\sandbox\sandbox.py"", line 7, in import openpyxl File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl__init__.py"", line 29, in from openpyxl.workbook import Workbook File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\workbook__init__.py"", line 25, in from .workbook import * File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\workbook\workbook.py"", line 35, in from openpyxl.worksheet import Worksheet File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\worksheet__init__.py"", line 25, in from .worksheet import * File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\worksheet\worksheet.py"", line 35, in import openpyxl.cell File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\cell__init__.py"", line 25, in from .cell import * File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\cell\cell.py"", line 47, in from openpyxl.date_time import ( File ""C:\Python34\lib\site-packages\openpyxl-2.0.5-py3.4.egg\openpyxl\date_time.py"", line 34, in from jdcal import ( ImportError: No module named 'jdcal' Same problem for Python 3.4 and 3.3 .",neutral
25645010,"While I am building my project I am getting below error on buildlog.xml BuildInstance name=""Compnay"" path=""/root/ProjectTest/install/installers/dev/installanywhere/iap/iManagerInstallLinux64.iap_xml"" Script status=""SUCCESS"" InstallResources status=""FAILURE"" action type=""Execute Custom Code: com.work.install.LinuxPreinstallUpgrader"" name=project.jar"" /root/ProjectTest/install/installers/build/lib/ There was an I/O error storing the classes. can anyone tell me what is ""InstallResources status=""FAILURE"""" ? I copied vms for 64 bit in recources/installer-vms.",neutral
25336191,"I am a novice on JavaFX. Recently I was trying to modify the code by jewelsea found on this link : On the code above, the program pauses a FutureTask with a dialog.showAndWait() method. I was trying to pause a Task using something else so I commented out the showAndWait(), and added a button with this code in its .setOnAction(), but it crashes the application everytime the button is pressed, any help will really be appreciated.",mixed
25374725,"I used the following script to parse the fund price of a particular fund: The output is OK for the first half, but the tag all turned in uppercase and BeautifulSoup cannot parse them, like the one below: You can see the output becomes garbage after the date . What happened?",neutral
25481402,"I need a way to store SQL queries inside a xml file inside my java project. Need it to be similar to mechanism used when developing for Android using Eclipse + the ADT plugin: where you can have the queries as resources inside a xml file in ""res/values"" folder & access them in code by R.string.QUERY_NAME. Is there a tool/plugin for either Eclipse or Netbeans to perform such task? I am using ormlite library, but some queries which are more complex can't be/are difficult to reached just by its API Or is there a smarter way?",neutral
25533140,"Using QTableWidget within PyQt4 when sorting is enabled, the items are sorted as strings. variable = [1,2,3,4,5,11,22,33] produces order 1 11 2 22 3 33 4 5 I am currently using the code below to fill the table I have tried as I thought the variables are only sorted as string because they are strings But this wasn't possible. Where am I going wrong here?",neutral
25682895,Tags are firing multiple times when slider arrow click reaches last image. I am using google tag manager. Here the slider is in a for loop .When the slider reaches the last image.It is iterating the click function multiple times. Below is the code I have added as a tag using Custom HTML script .,neutral
25705902,I have a calibration method that extracts from a static scene the projection matrix P = K[R | t] of the scene (where Z is the height and Z=0 is the ground plane). My question is what the easiest way to plot a 3D object in this scene using the projection matrix P? A few years ago I made a similar code that used OSG to plot the object (however in that case I had estimates of the intrinsic and extrinsic parameters separately). Do you guys know how to render the 3D in this case?,neutral
25526426,"I'm using this method to get a resource file: When I'm running this from the IDE, everything is fine. When I'm trying to run it as a jar, it throws . Any idea why?",neutral
25585078,I have trouble using the events my NSStream objects throw. In obj C it is something like this: How do i do that in Swift? i don't understand the NSStreamEvent reference. In Obj C its an Enum And in swift its a struct. Any ideas on how to use this like the above example?,negative
25417777,Consider The following code: I get the following error: If any one could suggest how to plot it correctly it will be helpful?,positive
25520445,I have a parent window which prompts a child pop-up window when a button is clicked. I also have a button inside the child pop-up window that prompts another pop-up window when clicked. What I am trying to do is to close all child and grand child pop-up windows when the main parent window is closed. But below codes closes the grand child window when the child window is closed. I called the closeAllPopUp function on unload of html body. What should I do to close them all on close of main parent page?,neutral
25514810,I want to instantiate a class via reflection as follows: Where the BaseClass is: And the interface is: I've tried numerous ways to get the type of 'TestConsume' but it pretty much always return null. Any idea how to go about doing this? the main way I've tried to get the type is: I've also used Type.GetType() etc and I'm completely lost.,negative
25568074,Consider the following string: I need to split this into a list so it looks like the following: The problem is I can't use because the 10th field has a comma within it. The question is then how best to split the original string into a list when arbitrary fields may have a comma?,neutral
25608248,"Are there any OD super users out there that could help me out. I have been unable to create an open directory replica from an open directory master. I have created an open directory master in Mavericks and added DNS, users etc. All is fine. I now want to create a replica on another machine for redundancy, yet I have been unable to do so. I have been able to dig nose through the terminal on each machine and get no errors except: macsvr1:~ admin$ sudo /usr/sbin/slapconfig -preflightreplica 192.168.0.11 diradmin +0000 Error; Unable to determine the master’s software version The rest of the terminal looks like this. Open Directory Master Primary address = 192.168.0.10 Current HostName = macsvr1.domain.com DNS HostName = macsvr1.domain.com The names match. There is nothing to change. dirserv:success = ""success"" macsvr1:~ admin$ macsvr1:~ admin$ sudo /usr/sbin/slapconfig -appleversion LDAP Setup Tool (slapconfig), Apple, Inc., Version 242 macsvr1:~ admin$ sudo scutil --get HostName macsvr1.domain.com macsvr1:~ admin$ sudo /usr/sbin/slapconfig -ver LDAP Setup Tool (slapconfig), Apple, Inc., Version 1.3 macsvr1:~ admin$ sudo /usr/sbin/slapconfig -preflightreplica 192.168.0.11 diradmin +0000 Error; Unable to determine the master’s software version Open directory Replica (Intended machine) Primary address = 192.168.0.11 Current HostName = macsvr2.domain.com DNS HostName = macsvr2.domain.com The names match. There is nothing to change. dirserv:success = ""success"" macsvr2:~ admin$ macsvr2:~ admin$ sudo /usr/sbin/slapconfig -appleversion LDAP Setup Tool (slapconfig), Apple, Inc., Version 242 macsvr2:~ admin$ sudo scutil --get HostName macsvr2.domain.com macsvr2:~ admin$ sudo /usr/sbin/slapconfig -ver LDAP Setup Tool (slapconfig), Apple, Inc., Version 1.3 I can verify each machine version and all DNS is fine. Both machines are in identical OS systems. 10.9.4 Server 3.1.2. Network is good as I can ping each machine from the other. ssh is enabled on both yet still i'm unable to create a replica. Any clues? Thanks, Stuart",neutral
25720654,"I have the following for loop: This checks the validity of the fields by some function check_validity(). If it is invalid, it appends it to the return_fields list and at the end, returns it to the main caller. My question is, in my code, I am using two variables i and j to just check if there are any elements left in the list 'fields'. But I am just wondering if there is a better way to do the same operation since I want to return all the invalid fields and not stop when I encounter any 1 of them.",neutral
25478659,"At the top of my class hierarchy is the class . Each instance of is required to statically initialize itself. (The example is silly, I know. If you are curious, I am using Android fragments and I cannot override their constructors) For example: The classes could continue indefinitely. I have looked into but I cannot figure out how to apply it to a static context. Thanks in advance!",positive
25371464,"I have a Ruby(Rails) app running on Heroku and a local development setup. Heroku is Ubuntu Lucid and my local setup has Ubuntu Precise. Ruby version(1.9.3), etc. are the same. My app is using sockets(TCP/SSL) for communicating with a server, and the nature of the server is such that whenever it receives a ""bad"" package, it will immediately close the connection. Here is what i expect to happen, This works as expected on Heroku, but on my local setup, no Exception is thrown and i can just keep writing to the socket. Ruby just keeps retuning the bytes written, even though no data is actually sent(im using wireshark). Any ideas about why my local setup won't throw the expected exception? Thanks.",neutral
25385606,I'm using Parse.com service to push notification for my WP8 app. The problem is I cannot find a way to handle toast notification when my app is not running (unable to extract data from notification). Is there any solution for this problem?,neutral
25482795,"This code disables scrolling for mobile device, is it possible that it only works when i click on ? menu nav icon to something like this ?",neutral
25744763,How to get distinct column data of SharePoint list using REST API? Is there a way to achieve it without looping? Thanks!,positive
25468321,"I want to run a multithreaded program on massive data. I usually create a class which is callable (or runnable) and pass the data needed for the process to the class. Based on the above implementation, I assume that the 'massiveData' is always copied for each thread (right?) If this is true, I am wasting lots of memory by copying this data for each thread. Is there any way to share the data between threads?",neutral
25607235,"I am facing a problem in Parent/child product in . I have created a product and added one custom field with stock control plugin. After adding the custom field to the product,I have added variant in product it will create child product as per the option I have created. Issue is : Ex. I have shirt with black and white color(it's a variant of parent.) So that shirt has two child product one is black and other one is white. Suppose I have 30 black and 20 white shirts and in the parent product I have mentioned the quantity as 50. Now When I purchase the product by selecting the shirt color i.e(white or black) it will get reflected to child product but not in parent product. I need it to be also reflect in the parent product too. Is this a bug in ? I am using , If any one have any solution please help.",negative
25348951,"How do I restrict registered users with editor role, from the Media Library upload file? I have changed permission on the upload.php file but that does't work. any help?",neutral
25331460,"Im trying to build a chat layout like whatsapp. I don't understand how they were able to place 'date' at bottom in rightmost corner of layout. I saw their code, it uses horizontal LinearLayout in which there is message and date side by side, but then how does the 'I love' part of message print above date ? Another problem is that if I use relativelayout to push date to extreme right using alignparentright = true, it expands the entire layout to match parent, which is obvious but undesirable Please advice me on this",neutral
25344857,"From the for labels: You place a label on a form when you need to identify or annotate another component such as an edit box or when you want to include text on a form. The standard label component, TLabel, is a non-windowed control, so it cannot receive focus; when you need a label with a window handle, use TStaticText instead. What does the statement ""when you need a label with a window handle, use TStaticText instead"" mean?",neutral
25533252,I created a project in eclipse. The project structure is as follows The TestMaven. java has nothing but a simple test method with @Test annotation My POM.xml is as follows I know that the project structure is not as usual. But can only have this structure. Now when I run 'mvn test' or use eclipse to run the maven test it throws me the following error I also see that it gives me the following messages I'm new to Maven. Please help me. Thanks!!!,positive
25594496,"I have an Eclipse RCP (SWT) Plugin Project and have a view part that has an SWT_AWT Frame with a JTree/JScrollPane/Etc using the following code: When I add the code for double buffering; I have it set explicitly on the ScrollBars of the JScrollPanel to see if I could fix the problem. I had it set on the scroll panel before this; but either way both things result in the same problem. The issue goes away though when you move the mouse over it; it works as expected. When I switch to other parts (tabs) and go back to this tab, the issue presents itself again. The issue also goes away when I do not set double buffering, but this results in a horrible flickering of the scroll bars. Anyone have any ideas?",negative
25619081,I have In my it looks like this: As You can see I'm binding list of hardrives to the combobox as . And then If needed I'm changing the selected item in this line: Eg. this.root is pointing at drive so combobox selection should change to E but now its still hanging at . My bindings are wrong or error is elsewhere?,neutral
25689082,"I'm working on a UserProfile edit page, where only a subset of the fields of a UserProfile model can be edited. A number of fields are only editable for users with a special role, and the field UserName is of course uneditable and hidden. Right now I'm thinking about including hiddenfields for all the fields that are not to be edited by users, and decorating my model like this: Other related bits of code: Related view code: However, I'm worried about exposing these fields through a hidden input. Won't clever or malicious users be able to edit them anyway? I understand that I HAVE to include them though, otherwise the properties will be after postback. Can someone enlighten me?",negative
25425495,"I'm i Newbie and i have a question, I want to build a php script that the security is 50%. I just want to make a login system based on php sessions. So as i read in learnings on internet, we can store user id OR user name in session like : So, is it safe to do this ? Can anyone else build a fake session and access to admin area ? If it is possible, What is the solution ? Can we store Hashed Password in session ?!",negative
25792172,"I have the following viewmodels (example for simplicity). I'm using nested viewmodel to avoid repeating myself (my real code is much more complex), so I'd like to avoid needing to flatten the Product all the time. I'm using DevExpress XPO as an ORM, which supports selecting nested viewmodels well. However I have a problem with the Select expression generated by . When I (manually) write the following query, everything works like a charm. Filtering, sorting, grouping AFTER the projection works as expedted (used by a gridview for example). One side-effect it has is that if - let's say - an Order has no Product, then the Product in the viewmodel will not be null, but will have everything empty (ID = 0, Name = null, etc). But this is fine for me, because the result is being displayed in a grid, where I can comfortable handle this. So now when I use the , the Select expression generated by AutoMapper will look like this: This is of course a semantically more correct approach, however, XPO will crash on filtering, sorting, etc. So I somehow need to avoid this expression and stay with the pure nested initializer. Is it somehow possible, or is there any workaround? Unfortunately I'm not so experienced in playing with expression trees.",negative
25788150,So in Symfony2 I need to do the following: The above methods are inside: I have it working by updating my app_dev.php and app.php and adding the following: Is this the proper way to modify the headers of should I do something else ? Kinda new to Symfony and I want to do everything the correct way.,neutral
25705030,"I got three arrays all full with 9 images each. Now I'd like to make it so that whenever the page is refreshed, it shows the images of one of the arrays. So it chooses at random which array to show the images of. I just really can't think of a way to make this work atm. I did find a way to show random images on refresh, but can't find a way to choose a complete array randomly I'm using jQuery",neutral
